年齢,男,女
　0,489,469
1,497,474
2,514,492
3,518,495
4,533,507
5,535,509
6,540,514
7,550,525
8,547,520
9,542,517
10,543,518
11,562,537
12,573,545
13,591,562
14,599,569
15,615,580
16,615,582
17,625,590
18,618,588
19,612,582
20,618,591
21,614,587
22,600,576
23,608,584
24,606,584
25,616,596
26,631,611
27,653,632
28,671,651
29,684,663
30,709,693
31,732,717
32,744,728
33,745,731
34,755,738
35,787,771
36,809,790
37,840,822
38,863,844
39,905,885
40,944,924
41,998,974
42,1011,995
43,995,975
44,966,951
45,937,922
46,921,910
47,900,890
48,898,889
49,699,697
50,864,860
51,809,805
52,787,786
53,760,761
54,748,750
55,751,757
56,764,772
57,741,753
58,719,733
59,754,771
60,779,797
61,776,798
62,820,851
63,864,902
64,911,955
65,972,1027
66,1059,1125
67,1041,1115
68,983,1055
69,605,662
70,637,715
71,766,869
72,732,839
73,740,860
74,707,831
75,629,752
76,534,650
77,551,691
78,547,702
79,527,695
80,478,656
81,428,611
82,401,601
83,365,568
84,323,532
85,278,483
86,243,452
87,210,414
88,178,374
89,147,337
90,114,289
91,84,238
92,61,202
93,43,160
94,32,127
95,25,106
96,15,67
97,11,53
98,8,40
99,5,29
100,8,53